ID_Viagem,Data,Tipo_Frota,Placa_Veiculo,Motorista,Rota,Distancia_km,Carga_Toneladas,Valor_Frete_R$_Ton,Receita_Faturada_R$,Consumo_Diesel_L,Media_Consumo_km_l,Custo_Diesel_R$,Custo_Pedagio_R$,Custo_Manutencao_R$,Custo_Total_Viagem_R$,Margem_Lucro_R$,R$_Km,R$_Ton_Efetivo,Tempo_Rodando_h,Fila_Silo_h,Fila_Porto_Tombador_h,Tempo_Total_Ciclo_h,Score_Telemetria,Emissao_CO2_kg,Status_Entrega
VJ-10012,02/02/2026,Dedicada,PR-D125,Motorista_132,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,49.56,219.03,10855.13,364.7,1.7,2242.91,410.0,0.0,2652.91,8202.22,4.28,53.53,9.9,2.6,0.5,13.0,80,977.4,Atrasado (Manutenção)
VJ-10013,02/02/2026,Dedicada,PR-D116,Motorista_106,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.35,197.36,9542.36,311.8,1.86,1917.57,340.0,0.0,2257.57,7284.79,3.89,46.69,10.8,1.9,2.5,15.2,98,835.6,Atrasado (Fila)
VJ-10014,02/02/2026,Própria,PR-P025,Motorista_137,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.29,188.43,9099.28,315.2,1.84,1938.48,340.0,261.0,2719.48,6379.8,4.69,56.32,10.0,1.2,1.0,12.2,94,844.7,No Prazo
VJ-10015,02/02/2026,Dedicada,PR-D184,Motorista_049,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.65,185.02,9186.24,315.2,1.84,1938.48,340.0,0.0,2278.48,6907.76,3.93,45.89,9.9,1.6,1.5,13.0,98,844.7,Atrasado (Fila)
VJ-10016,02/02/2026,Dedicada,PR-D127,Motorista_065,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.97,51.45,2570.96,80.9,1.73,497.54,85.0,0.0,582.54,1988.42,4.16,11.66,2.3,3.0,0.8,6.1,61,216.8,No Prazo
VJ-10017,02/02/2026,Dedicada,PR-D054,Motorista_060,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.11,198.32,9739.5,322.2,1.8,1981.53,340.0,0.0,2321.53,7417.97,4.0,47.27,9.6,2.7,2.7,15.0,90,863.5,No Prazo
VJ-10018,02/02/2026,Dedicada,PR-D156,Motorista_099,Silo Realeza -> Transbordo Ferroviário (PR),280,50.47,90.95,4590.25,153.0,1.83,940.95,160.0,0.0,1100.95,3489.3,3.93,21.81,4.9,3.8,0.8,9.5,81,410.0,No Prazo
VJ-10019,02/02/2026,Dedicada,PR-D028,Motorista_108,Silo Pato Branco -> Indústria Esmagadora (PR),140,50.2,56.5,2836.3,83.8,1.67,515.37,85.0,0.0,600.37,2235.93,4.29,11.96,2.3,0.5,1.4,4.2,87,224.6,No Prazo
VJ-10020,02/02/2026,Própria,PR-P045,Motorista_018,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.62,201.9,9816.38,303.7,1.91,1867.76,340.0,261.0,2648.76,7167.62,4.57,54.48,9.7,3.6,5.0,18.3,90,813.9,No Prazo
VJ-10021,02/02/2026,Própria,PR-P010,Motorista_092,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.98,49.05,2402.47,74.5,1.88,458.18,85.0,63.0,786.18,1616.29,5.62,16.05,2.6,2.2,0.7,5.5,83,199.7,No Prazo
VJ-10022,02/02/2026,Dedicada,PR-D043,Motorista_094,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.11,206.69,10357.24,324.0,1.79,1992.6,340.0,0.0,2332.6,8024.64,4.02,46.55,10.2,3.6,9.6,23.4,95,868.3,No Prazo
VJ-10023,02/02/2026,Dedicada,PR-D031,Motorista_070,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,50.18,195.81,9825.75,348.3,1.78,2142.04,410.0,0.0,2552.04,7273.71,4.12,50.86,10.3,2.1,0.6,13.0,93,933.4,Atrasado (Fila)
VJ-10024,03/02/2026,Dedicada,PR-D052,Motorista_093,Silo Pato Branco -> Indústria Esmagadora (PR),140,50.47,59.47,3001.45,83.8,1.67,515.37,85.0,0.0,600.37,2401.08,4.29,11.9,2.7,2.6,1.0,6.3,92,224.6,Atrasado (Fila)
VJ-10025,03/02/2026,Dedicada,PR-D036,Motorista_067,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.07,208.84,10038.94,337.2,1.72,2073.78,340.0,0.0,2413.78,7625.16,4.16,50.21,10.1,3.7,15.3,29.1,67,903.7,No Prazo
VJ-10026,03/02/2026,Própria,PR-P018,Motorista_048,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.71,45.77,2275.23,70.0,2.0,430.5,85.0,63.0,758.5,1516.73,5.42,15.26,2.7,2.8,1.1,6.6,79,187.6,No Prazo
VJ-10027,03/02/2026,Própria,PR-P006,Motorista_013,Silo Realeza -> Transbordo Ferroviário (PR),280,49.41,92.55,4572.9,146.6,1.91,901.59,160.0,126.0,1367.59,3205.31,4.88,27.68,5.2,4.0,1.1,10.3,81,392.9,No Prazo
VJ-10028,03/02/2026,Dedicada,PR-D056,Motorista_135,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.06,196.84,9853.81,313.5,1.85,1928.02,340.0,0.0,2268.02,7585.79,3.91,45.31,10.7,3.8,4.6,19.1,70,840.2,No Prazo
VJ-10029,03/02/2026,Dedicada,PR-D168,Motorista_026,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,49.42,294.04,14531.46,1123.0,1.87,6906.45,180.0,0.0,7086.45,7445.01,3.37,143.39,34.9,3.2,7.7,45.8,74,3009.6,No Prazo
VJ-10030,03/02/2026,Dedicada,PR-D098,Motorista_087,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,49.42,194.06,9590.45,362.6,1.71,2229.99,410.0,0.0,2639.99,6950.46,4.26,53.42,11.9,3.0,1.3,16.2,69,971.8,Atrasado (Fila)
VJ-10031,03/02/2026,Dedicada,PR-D180,Motorista_121,Silo Pato Branco -> Indústria Esmagadora (PR),140,50.39,49.76,2507.41,80.5,1.74,495.08,85.0,0.0,580.08,1927.33,4.14,11.51,2.6,3.8,0.7,7.1,97,215.7,No Prazo
VJ-10032,03/02/2026,Dedicada,PR-D182,Motorista_058,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.49,188.01,9304.61,339.2,1.71,2086.08,340.0,0.0,2426.08,6878.53,4.18,49.02,10.8,3.6,12.3,26.7,70,909.1,No Prazo
VJ-10033,03/02/2026,Dedicada,PR-D058,Motorista_040,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.06,198.44,9933.91,313.5,1.85,1928.02,340.0,0.0,2268.02,7665.89,3.91,45.31,9.4,3.0,0.4,12.8,92,840.2,No Prazo
VJ-10034,03/02/2026,Dedicada,PR-D073,Motorista_137,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.21,50.6,2439.43,82.8,1.69,509.22,85.0,0.0,594.22,1845.21,4.24,12.33,2.6,3.1,0.8,6.5,64,221.9,No Prazo
VJ-10035,03/02/2026,Dedicada,PR-D084,Motorista_149,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.99,58.74,2877.67,76.1,1.84,468.02,85.0,0.0,553.02,2324.65,3.95,11.29,2.4,3.3,0.7,6.4,69,203.9,No Prazo
VJ-10036,04/02/2026,Dedicada,PR-D039,Motorista_100,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.25,209.51,10318.37,347.3,1.67,2135.9,340.0,0.0,2475.9,7842.47,4.27,50.27,9.5,2.6,1.0,13.1,79,930.8,No Prazo
VJ-10037,04/02/2026,Dedicada,PR-D102,Motorista_055,Silo Realeza -> Transbordo Ferroviário (PR),280,49.49,102.52,5073.71,150.5,1.86,925.58,160.0,0.0,1085.58,3988.13,3.88,21.94,5.3,1.5,1.6,8.4,70,403.3,No Prazo
VJ-10038,04/02/2026,Dedicada,PR-D126,Motorista_030,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.58,56.65,2752.06,76.9,1.82,472.94,85.0,0.0,557.94,2194.12,3.99,11.48,2.4,1.4,0.9,4.7,65,206.1,No Prazo
VJ-10039,04/02/2026,Dedicada,PR-D158,Motorista_082,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.13,48.0,2310.24,76.1,1.84,468.02,85.0,0.0,553.02,1757.22,3.95,11.49,2.2,3.2,0.9,6.3,90,203.9,No Prazo
VJ-10040,04/02/2026,Dedicada,PR-D140,Motorista_131,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,49.3,197.7,9746.61,335.1,1.85,2060.87,410.0,0.0,2470.87,7275.74,3.99,50.12,11.4,1.5,1.8,14.7,88,898.1,No Prazo
VJ-10041,04/02/2026,Dedicada,PR-D076,Motorista_075,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,48.0,198.08,9507.84,369.0,1.68,2269.35,410.0,0.0,2679.35,6828.49,4.32,55.82,11.4,1.0,1.4,13.8,81,988.9,No Prazo
VJ-10042,04/02/2026,Própria,PR-P034,Motorista_148,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.89,190.94,9335.06,310.2,1.87,1907.73,340.0,261.0,2688.73,6646.33,4.64,55.0,10.0,2.6,2.9,15.5,86,831.3,No Prazo
VJ-10043,04/02/2026,Dedicada,PR-D119,Motorista_146,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.21,48.32,2377.83,75.3,1.86,463.1,85.0,0.0,548.1,1829.73,3.92,11.14,2.4,3.8,0.6,6.8,98,201.8,Atrasado (Manutenção)
VJ-10044,04/02/2026,Dedicada,PR-D062,Motorista_113,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.2,191.88,9248.62,311.8,1.86,1917.57,340.0,0.0,2257.57,6991.05,3.89,46.84,10.2,1.4,1.3,12.9,98,835.6,No Prazo
VJ-10045,04/02/2026,Dedicada,PR-D184,Motorista_067,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.29,209.37,10319.85,331.4,1.75,2038.11,340.0,0.0,2378.11,7941.74,4.1,48.25,9.4,1.7,8.5,19.6,85,888.2,No Prazo
VJ-10046,04/02/2026,Dedicada,PR-D008,Motorista_045,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.33,59.0,2851.47,74.9,1.87,460.64,85.0,0.0,545.64,2305.83,3.9,11.29,2.5,1.6,0.7,4.8,69,200.7,Atrasado (Fila)
VJ-10047,04/02/2026,Dedicada,PR-D136,Motorista_137,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,48.75,216.73,10565.59,333.3,1.86,2049.8,410.0,0.0,2459.8,8105.79,3.97,50.46,10.3,1.1,0.7,12.1,97,893.2,No Prazo
VJ-10048,05/02/2026,Dedicada,PR-D160,Motorista_107,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.9,180.22,8992.98,311.8,1.86,1917.57,340.0,0.0,2257.57,6735.41,3.89,45.24,9.4,3.9,8.7,22.0,91,835.6,Atrasado (Fila)
VJ-10049,05/02/2026,Própria,PR-P029,Motorista_132,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.51,49.88,2469.56,76.1,1.84,468.02,85.0,63.0,796.02,1673.54,5.69,16.08,2.7,3.3,1.7,7.7,81,203.9,No Prazo
VJ-10050,05/02/2026,Própria,PR-P022,Motorista_026,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.04,56.28,2703.69,76.9,1.82,472.94,85.0,63.0,800.94,1902.75,5.72,16.67,2.6,1.5,1.4,5.5,76,206.1,No Prazo
VJ-10051,05/02/2026,Dedicada,PR-D128,Motorista_065,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.43,184.53,8936.79,345.2,1.68,2122.98,340.0,0.0,2462.98,6473.81,4.25,50.86,9.8,3.5,4.5,17.8,96,925.1,No Prazo
VJ-10052,05/02/2026,Própria,PR-P035,Motorista_068,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,48.78,193.11,9419.91,329.8,1.88,2028.27,410.0,279.0,2897.27,6522.64,4.67,59.39,10.5,1.9,0.6,13.0,93,883.9,No Prazo
VJ-10053,05/02/2026,Dedicada,PR-D032,Motorista_046,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.03,204.01,9798.6,315.2,1.84,1938.48,340.0,0.0,2278.48,7520.12,3.93,47.44,10.3,2.0,0.9,13.2,75,844.7,No Prazo
VJ-10054,05/02/2026,Própria,PR-P025,Motorista_074,Silo Realeza -> Transbordo Ferroviário (PR),280,50.3,107.17,5390.65,146.6,1.91,901.59,160.0,126.0,1367.59,4023.06,4.88,27.19,4.8,1.4,0.7,6.9,80,392.9,No Prazo
VJ-10055,05/02/2026,Dedicada,PR-D147,Motorista_050,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.03,45.2,2216.16,78.2,1.79,480.93,85.0,0.0,565.93,1650.23,4.04,11.54,2.4,2.0,1.7,6.1,99,209.6,No Prazo
VJ-10056,05/02/2026,Dedicada,PR-D124,Motorista_054,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,50.42,203.35,10252.91,366.9,1.69,2256.44,410.0,0.0,2666.44,7586.47,4.3,52.88,11.7,2.0,0.9,14.6,79,983.3,No Prazo
VJ-10057,05/02/2026,Dedicada,PR-D023,Motorista_048,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.85,202.36,9885.29,324.0,1.79,1992.6,340.0,0.0,2332.6,7552.69,4.02,47.75,10.1,2.2,0.2,12.5,82,868.3,No Prazo
VJ-10058,05/02/2026,Dedicada,PR-D017,Motorista_147,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.54,191.64,9302.21,341.2,1.7,2098.38,340.0,0.0,2438.38,6863.83,4.2,50.23,10.6,4.0,15.5,30.1,77,914.4,Atrasado (Fila)
VJ-10059,05/02/2026,Dedicada,PR-D200,Motorista_110,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,48.43,280.53,13586.07,1153.8,1.82,7095.87,180.0,0.0,7275.87,6310.2,3.46,150.23,34.5,3.2,8.1,45.8,62,3092.2,No Prazo
VJ-10060,06/02/2026,Dedicada,PR-D084,Motorista_018,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.58,54.35,2694.67,82.8,1.69,509.22,85.0,0.0,594.22,2100.45,4.24,11.99,2.4,0.6,1.2,4.2,72,221.9,No Prazo
VJ-10061,06/02/2026,Dedicada,PR-D149,Motorista_071,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,48.53,296.5,14389.14,1153.8,1.82,7095.87,180.0,0.0,7275.87,7113.27,3.46,149.93,37.7,3.7,14.2,55.6,72,3092.2,No Prazo
VJ-10062,06/02/2026,Dedicada,PR-D013,Motorista_062,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.12,192.06,9626.05,318.7,1.82,1960.0,340.0,0.0,2300.0,7326.05,3.97,45.89,11.1,2.2,3.9,17.2,85,854.1,No Prazo
VJ-10063,06/02/2026,Própria,PR-P040,Motorista_017,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,48.19,204.24,9842.33,310.0,2.0,1906.5,410.0,279.0,2775.5,7066.83,4.48,57.59,10.2,0.5,0.9,11.6,79,830.8,No Prazo
VJ-10064,06/02/2026,Dedicada,PR-D206,Motorista_117,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.83,46.56,2273.52,75.3,1.86,463.1,85.0,0.0,548.1,1725.42,3.92,11.22,2.5,1.3,0.9,4.7,70,201.8,No Prazo
VJ-10065,06/02/2026,Dedicada,PR-D165,Motorista_131,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.99,52.49,2623.98,82.8,1.69,509.22,85.0,0.0,594.22,2029.76,4.24,11.89,2.7,2.0,1.1,5.8,94,221.9,No Prazo
VJ-10066,06/02/2026,Dedicada,PR-D124,Motorista_029,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.16,195.88,9825.34,333.3,1.74,2049.8,340.0,0.0,2389.8,7435.54,4.12,47.64,10.5,3.6,7.7,21.8,87,893.2,No Prazo
VJ-10067,06/02/2026,Dedicada,PR-D087,Motorista_050,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.01,48.89,2347.21,82.8,1.69,509.22,85.0,0.0,594.22,1752.99,4.24,12.38,2.2,1.4,1.7,5.3,70,221.9,No Prazo
VJ-10068,06/02/2026,Própria,PR-P030,Motorista_045,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,50.49,218.85,11049.74,313.1,1.98,1925.57,410.0,279.0,2794.57,8255.17,4.51,55.35,11.8,2.5,0.6,14.9,82,839.1,No Prazo
VJ-10069,06/02/2026,Dedicada,PR-D149,Motorista_055,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,48.44,205.33,9946.19,337.0,1.84,2072.55,410.0,0.0,2482.55,7463.64,4.0,51.25,10.4,0.8,0.8,12.0,61,903.2,No Prazo
VJ-10070,06/02/2026,Dedicada,PR-D111,Motorista_022,Silo Pato Branco -> Indústria Esmagadora (PR),140,50.1,52.85,2647.79,76.9,1.82,472.94,85.0,0.0,557.94,2089.85,3.99,11.14,2.4,0.6,0.9,3.9,85,206.1,Atrasado (Fila)
VJ-10071,06/02/2026,Dedicada,PR-D121,Motorista_008,Silo Realeza -> Transbordo Ferroviário (PR),280,48.4,95.14,4604.78,162.8,1.72,1001.22,160.0,0.0,1161.22,3443.56,4.15,23.99,4.6,3.0,1.3,8.9,79,436.3,No Prazo
VJ-10072,07/02/2026,Dedicada,PR-D092,Motorista_117,Silo Realeza -> Transbordo Ferroviário (PR),280,50.03,96.95,4850.41,155.6,1.8,956.94,160.0,0.0,1116.94,3733.47,3.99,22.33,5.1,2.6,1.3,9.0,68,417.0,No Prazo
VJ-10073,07/02/2026,Dedicada,PR-D181,Motorista_006,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.15,181.01,9077.65,325.8,1.78,2003.67,340.0,0.0,2343.67,6733.98,4.04,46.73,9.3,1.8,4.0,15.1,86,873.1,No Prazo
VJ-10074,07/02/2026,Dedicada,PR-D078,Motorista_083,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.08,53.93,2592.95,83.3,1.68,512.29,85.0,0.0,597.29,1995.66,4.27,12.42,2.4,2.7,1.4,6.5,70,223.2,No Prazo
VJ-10075,07/02/2026,Dedicada,PR-D094,Motorista_102,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.3,194.9,9413.67,318.7,1.82,1960.0,340.0,0.0,2300.0,7113.67,3.97,47.62,9.8,1.1,3.0,13.9,63,854.1,No Prazo
VJ-10076,07/02/2026,Própria,PR-P039,Motorista_071,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.23,187.51,9231.12,295.9,1.96,1819.78,340.0,261.0,2600.78,6630.34,4.48,52.83,10.4,3.8,0.2,14.4,98,793.0,No Prazo
VJ-10077,07/02/2026,Própria,PR-P022,Motorista_010,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.82,186.47,9289.94,310.2,1.87,1907.73,340.0,261.0,2688.73,6601.21,4.64,53.97,10.3,1.3,15.5,27.1,90,831.3,No Prazo
VJ-10078,07/02/2026,Dedicada,PR-D056,Motorista_050,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.16,202.83,10173.95,345.2,1.68,2122.98,340.0,0.0,2462.98,7710.97,4.25,49.1,11.0,0.9,2.0,13.9,80,925.1,No Prazo
VJ-10079,07/02/2026,Dedicada,PR-D074,Motorista_124,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.8,56.7,2823.66,74.5,1.88,458.18,85.0,0.0,543.18,2280.48,3.88,10.91,2.7,2.7,1.2,6.6,94,199.7,No Prazo
VJ-10080,07/02/2026,Dedicada,PR-D203,Motorista_076,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.25,199.93,10046.48,325.8,1.78,2003.67,340.0,0.0,2343.67,7702.81,4.04,46.64,9.6,1.2,11.1,21.9,76,873.1,No Prazo
VJ-10081,07/02/2026,Dedicada,PR-D010,Motorista_056,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,48.33,319.68,15450.13,1242.6,1.69,7641.99,180.0,0.0,7821.99,7628.14,3.72,161.85,34.4,3.5,6.0,43.9,79,3330.2,No Prazo
VJ-10082,07/02/2026,Dedicada,PR-D172,Motorista_111,Silo Realeza -> Transbordo Ferroviário (PR),280,48.11,97.83,4706.6,153.8,1.82,945.87,160.0,0.0,1105.87,3600.73,3.95,22.99,4.6,1.7,1.7,8.0,75,412.2,No Prazo
VJ-10083,07/02/2026,Dedicada,PR-D208,Motorista_048,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.33,198.56,9596.4,320.4,1.81,1970.46,340.0,0.0,2310.46,7285.94,3.98,47.81,9.2,3.3,1.0,13.5,60,858.7,No Prazo
VJ-10084,08/02/2026,Dedicada,PR-D056,Motorista_006,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.03,49.96,2449.54,77.3,1.81,475.4,85.0,0.0,560.4,1889.14,4.0,11.43,2.5,3.2,1.8,7.5,84,207.2,No Prazo
VJ-10085,08/02/2026,Própria,PR-P037,Motorista_132,Silo Pato Branco -> Indústria Esmagadora (PR),140,50.08,51.08,2558.09,68.6,2.04,421.89,85.0,63.0,749.89,1808.2,5.36,14.97,2.3,3.6,1.1,7.0,79,183.8,No Prazo
VJ-10086,08/02/2026,Dedicada,PR-D094,Motorista_141,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.11,58.3,2863.11,82.4,1.7,506.76,85.0,0.0,591.76,2271.35,4.23,12.05,2.4,3.5,1.8,7.7,94,220.8,No Prazo
VJ-10087,08/02/2026,Dedicada,PR-D110,Motorista_084,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.08,207.34,10383.59,320.4,1.81,1970.46,340.0,0.0,2310.46,8073.13,3.98,46.14,9.3,1.0,2.7,13.0,94,858.7,Atrasado (Manutenção)
VJ-10088,08/02/2026,Dedicada,PR-D155,Motorista_065,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,50.1,313.18,15690.32,1242.6,1.69,7641.99,180.0,0.0,7821.99,7868.33,3.72,156.13,36.7,2.5,4.2,43.4,92,3330.2,No Prazo
VJ-10089,08/02/2026,Própria,PR-P043,Motorista_115,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,48.91,212.39,10387.99,322.9,1.92,1985.84,410.0,279.0,2854.84,7533.15,4.6,58.37,11.0,2.3,1.6,14.9,72,865.4,No Prazo
VJ-10090,08/02/2026,Dedicada,PR-D114,Motorista_140,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,49.88,300.28,14977.97,1257.5,1.67,7733.62,180.0,0.0,7913.62,7064.35,3.77,158.65,35.9,2.5,1.9,40.3,90,3370.1,No Prazo
VJ-10091,08/02/2026,Dedicada,PR-D199,Motorista_091,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.32,190.33,9577.41,345.2,1.68,2122.98,340.0,0.0,2462.98,7114.43,4.25,48.95,9.4,0.6,33.9,43.9,77,925.1,No Prazo
VJ-10092,08/02/2026,Dedicada,PR-D140,Motorista_047,Silo Realeza -> Transbordo Ferroviário (PR),280,48.67,104.88,5104.51,159.1,1.76,978.46,160.0,0.0,1138.46,3966.05,4.07,23.39,4.8,3.6,1.0,9.4,63,426.4,No Prazo
VJ-10093,08/02/2026,Própria,PR-P015,Motorista_101,Silo Pato Branco -> Indústria Esmagadora (PR),140,48.3,46.93,2266.72,76.1,1.84,468.02,85.0,63.0,796.02,1470.7,5.69,16.48,2.6,0.9,1.8,5.3,73,203.9,No Prazo
