ID_Viagem,Data,Tipo_Frota,Placa_Veiculo,Rota,Distancia_km,Carga_t,Tempo_Viagem_h,Tempo_Espera_Fila_h,Consumo_L,Media_km_l,Custo_Total_R$,R$_km,R$_Ton
VJ-1053,07/02/2026,Dedicada,PR-D191,Unidade Oeste -> Indústria Local (PR),140,48.5,2.4,3.7,76.1,1.84,989.8,7.07,20.41
VJ-1054,07/02/2026,Dedicada,PR-D086,Unidade Sul -> Transbordo Ferroviário (PR),280,48.4,4.5,0.4,153.8,1.82,1926.4,6.88,39.8
VJ-1055,07/02/2026,Dedicada,PR-D051,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,11.5,31.6,337.2,1.72,3793.2,6.54,76.17
VJ-1056,08/02/2026,Própria,PR-P025,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.6,9.4,0.4,292.9,1.98,3427.8,5.91,69.11
VJ-1057,08/02/2026,Dedicada,PR-D186,Unidade Sul -> Transbordo Ferroviário (PR),280,49.9,5.1,7.1,153.8,1.82,1828.4,6.53,36.64
VJ-1058,08/02/2026,Própria,PR-P022,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.8,9.6,24.7,299.0,1.94,3480.0,6.0,72.8
VJ-1059,08/02/2026,Dedicada,PR-D058,Unidade Sul -> Transbordo Ferroviário (PR),280,49.3,4.7,1.6,161.8,1.73,1789.2,6.39,36.29
VJ-1060,08/02/2026,Dedicada,PR-D058,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,10.2,0.9,310.2,1.87,3978.8,6.86,79.9
VJ-1061,08/02/2026,Dedicada,PR-D086,Unidade Sul -> Transbordo Ferroviário (PR),280,48.0,4.8,0.8,163.7,1.71,1884.4,6.73,39.26
VJ-1062,08/02/2026,Dedicada,PR-D049,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.7,9.6,2.2,327.7,1.77,3700.4,6.38,77.58
VJ-1063,08/02/2026,Dedicada,PR-D180,Unidade Sul -> Transbordo Ferroviário (PR),280,49.4,5.1,0.6,149.7,1.87,1817.2,6.49,36.79
VJ-1064,09/02/2026,Dedicada,PR-D170,Unidade Oeste -> Indústria Local (PR),140,48.9,2.6,7.1,79.5,1.76,883.4,6.31,18.07
VJ-1065,09/02/2026,Dedicada,PR-D070,Unidade Sul -> Transbordo Ferroviário (PR),280,49.6,4.8,0.4,154.7,1.81,1870.4,6.68,37.71
VJ-1066,09/02/2026,Própria,PR-P015,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.8,9.7,4.3,297.4,1.95,3456.8,5.96,72.32
VJ-1067,09/02/2026,Dedicada,PR-D054,Unidade Oeste -> Indústria Local (PR),140,49.5,2.4,34.3,80.9,1.73,949.2,6.78,19.18
VJ-1068,09/02/2026,Própria,PR-P043,Unidade Sul -> Transbordo Ferroviário (PR),280,48.0,4.7,10.1,145.8,1.92,1769.6,6.32,36.87
VJ-1069,09/02/2026,Dedicada,PR-D188,Unidade Oeste -> Indústria Local (PR),140,47.9,2.5,5.7,79.5,1.76,915.6,6.54,19.11
VJ-1070,09/02/2026,Dedicada,PR-D101,Unidade Oeste -> Indústria Local (PR),140,47.9,2.3,2.2,75.3,1.86,964.6,6.89,20.14
VJ-1071,09/02/2026,Dedicada,PR-D008,Unidade Oeste -> Indústria Local (PR),140,49.5,2.7,5.9,80.9,1.73,887.6,6.34,17.93
VJ-1072,10/02/2026,Própria,PR-P044,Unidade Oeste -> Indústria Local (PR),140,49.2,2.5,4.5,76.5,1.83,849.8,6.07,17.27
VJ-1073,10/02/2026,Dedicada,PR-D108,Unidade Oeste -> Indústria Local (PR),140,48.8,2.8,3.3,82.8,1.69,977.2,6.98,20.02
VJ-1074,10/02/2026,Dedicada,PR-D005,Unidade Oeste -> Indústria Local (PR),140,48.4,2.6,0.8,77.3,1.81,956.2,6.83,19.76
VJ-1075,10/02/2026,Dedicada,PR-D103,Unidade Sul -> Transbordo Ferroviário (PR),280,49.7,5.1,13.1,160.0,1.75,1895.6,6.77,38.14
VJ-1076,10/02/2026,Dedicada,PR-D196,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.5,10.6,3.6,313.5,1.85,4065.8,7.01,83.83
VJ-1077,10/02/2026,Própria,PR-P006,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.5,9.9,1.3,303.7,1.91,3538.0,6.1,71.47
VJ-1078,10/02/2026,Dedicada,PR-D109,Unidade Sul -> Transbordo Ferroviário (PR),280,48.6,5.1,2.8,149.7,1.87,1780.8,6.36,36.64
VJ-1079,10/02/2026,Própria,PR-P032,Unidade Sul -> Transbordo Ferroviário (PR),280,48.4,5.1,3.2,140.0,2.0,1747.2,6.24,36.1
VJ-1080,11/02/2026,Dedicada,PR-D116,Unidade Oeste -> Indústria Local (PR),140,48.7,2.6,10.5,75.7,1.85,971.6,6.94,19.95
VJ-1081,11/02/2026,Dedicada,PR-D094,Unidade Oeste -> Indústria Local (PR),140,48.3,2.6,7.9,76.1,1.84,886.2,6.33,18.35
VJ-1082,11/02/2026,Dedicada,PR-D047,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.4,11.0,8.8,316.9,1.83,3926.6,6.77,79.49
VJ-1083,11/02/2026,Própria,PR-P035,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.8,11.4,0.1,297.4,1.95,3410.4,5.88,69.89
VJ-1084,11/02/2026,Dedicada,PR-D055,Unidade Oeste -> Indústria Local (PR),140,48.1,2.4,3.2,76.5,1.83,977.2,6.98,20.32
VJ-1085,11/02/2026,Dedicada,PR-D168,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.7,10.0,3.9,320.4,1.81,3897.6,6.72,78.42
VJ-1086,11/02/2026,Dedicada,PR-D052,Unidade Oeste -> Indústria Local (PR),140,48.5,2.4,0.1,81.9,1.71,889.0,6.35,18.33
VJ-1087,11/02/2026,Dedicada,PR-D144,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.9,10.4,1.8,343.2,1.69,4042.6,6.97,82.67
VJ-1088,12/02/2026,Dedicada,PR-D013,Unidade Sul -> Transbordo Ferroviário (PR),280,49.8,5.1,8.6,150.5,1.86,1898.4,6.78,38.12
VJ-1089,12/02/2026,Dedicada,PR-D114,Unidade Sul -> Transbordo Ferroviário (PR),280,49.1,4.6,0.9,155.6,1.8,1789.2,6.39,36.44
VJ-1090,12/02/2026,Própria,PR-P042,Unidade Oeste -> Indústria Local (PR),140,47.8,2.5,4.6,75.7,1.85,834.4,5.96,17.46
VJ-1091,12/02/2026,Dedicada,PR-D158,Unidade Oeste -> Indústria Local (PR),140,49.8,2.5,1.5,78.7,1.78,984.2,7.03,19.76
VJ-1092,12/02/2026,Dedicada,PR-D147,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.1,11.5,0.1,341.2,1.7,3967.2,6.84,80.8
VJ-1093,12/02/2026,Dedicada,PR-D145,Unidade Norte -> Terminal Mairinque (SP),490,48.3,9.1,1.7,286.5,1.71,3410.4,6.96,70.61
VJ-1094,12/02/2026,Dedicada,PR-D120,Unidade Oeste -> Indústria Local (PR),140,47.8,2.6,22.3,76.9,1.82,980.0,7.0,20.5
VJ-1095,12/02/2026,Dedicada,PR-D063,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.5,10.6,9.7,327.7,1.77,3920.8,6.76,79.21
VJ-1096,13/02/2026,Dedicada,PR-D019,Unidade Sul -> Transbordo Ferroviário (PR),280,49.1,4.9,19.3,162.8,1.72,1878.8,6.71,38.26
VJ-1097,13/02/2026,Dedicada,PR-D092,Unidade Norte -> Terminal Mairinque (SP),490,48.8,8.7,4.0,275.3,1.78,3253.6,6.64,66.67
VJ-1098,13/02/2026,Própria,PR-P026,Unidade Sul -> Transbordo Ferroviário (PR),280,49.7,4.9,0.7,150.5,1.86,1635.2,5.84,32.9
VJ-1099,13/02/2026,Própria,PR-P037,Unidade Norte -> Terminal Mairinque (SP),490,49.5,8.3,4.8,255.2,1.92,2984.1,6.09,60.28
VJ-1100,13/02/2026,Própria,PR-P026,Unidade Oeste -> Indústria Local (PR),140,47.9,2.3,3.6,75.3,1.86,814.8,5.82,17.01
VJ-1101,13/02/2026,Dedicada,PR-D117,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.3,9.9,11.2,315.2,1.84,3932.4,6.78,81.42
VJ-1102,13/02/2026,Dedicada,PR-D062,Unidade Sul -> Transbordo Ferroviário (PR),280,48.1,4.6,0.6,160.9,1.74,1962.8,7.01,40.81
VJ-1103,13/02/2026,Dedicada,PR-D023,Unidade Sul -> Transbordo Ferroviário (PR),280,49.4,5.6,4.0,158.2,1.77,1862.0,6.65,37.69
VJ-1104,14/02/2026,Dedicada,PR-D127,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.6,11.1,1.0,345.2,1.68,3938.2,6.79,82.74
VJ-1105,14/02/2026,Dedicada,PR-D137,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.9,11.6,2.4,343.2,1.69,3949.8,6.81,80.77
VJ-1106,14/02/2026,Dedicada,PR-D140,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.4,10.0,8.0,329.5,1.76,3926.6,6.77,79.49
VJ-1107,14/02/2026,Dedicada,PR-D129,Unidade Norte -> Terminal Mairinque (SP),490,49.7,8.1,3.9,275.3,1.78,3361.4,6.86,67.63
VJ-1108,14/02/2026,Dedicada,PR-D058,Unidade Sul -> Transbordo Ferroviário (PR),280,48.4,5.3,2.8,155.6,1.8,1817.2,6.49,37.55
VJ-1109,14/02/2026,Própria,PR-P001,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.6,9.5,3.0,320.4,1.81,3596.0,6.2,72.5
VJ-1110,14/02/2026,Dedicada,PR-D034,Unidade Oeste -> Indústria Local (PR),140,47.8,2.8,3.7,76.9,1.82,893.2,6.38,18.69
VJ-1111,14/02/2026,Própria,PR-P032,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.6,9.5,9.2,310.2,1.87,3561.2,6.14,71.8
VJ-1112,15/02/2026,Dedicada,PR-D126,Unidade Sul -> Transbordo Ferroviário (PR),280,47.8,5.2,13.4,152.2,1.84,1873.2,6.69,39.19
VJ-1113,15/02/2026,Dedicada,PR-D118,Unidade Norte -> Terminal Mairinque (SP),490,48.5,9.6,18.7,289.9,1.69,3341.8,6.82,68.9
VJ-1114,15/02/2026,Dedicada,PR-D048,Unidade Norte -> Terminal Mairinque (SP),490,49.5,8.8,9.3,275.3,1.78,3459.4,7.06,69.89
VJ-1115,15/02/2026,Dedicada,PR-D089,Unidade Oeste -> Indústria Local (PR),140,47.9,2.6,2.3,82.4,1.7,949.2,6.78,19.82
VJ-1116,15/02/2026,Dedicada,PR-D117,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,10.9,7.0,335.3,1.73,3996.2,6.89,83.08
VJ-1117,15/02/2026,Dedicada,PR-D129,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.3,10.8,3.5,308.5,1.88,3891.8,6.71,78.94
VJ-1118,15/02/2026,Dedicada,PR-D016,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.3,9.7,1.8,339.2,1.71,3949.8,6.81,80.12
VJ-1119,15/02/2026,Dedicada,PR-D189,Unidade Sul -> Transbordo Ferroviário (PR),280,49.1,5.0,11.0,157.3,1.78,1780.8,6.36,36.27
VJ-1120,16/02/2026,Dedicada,PR-D192,Unidade Norte -> Terminal Mairinque (SP),490,49.2,9.1,0.2,272.2,1.8,3185.0,6.5,64.74
VJ-1121,16/02/2026,Dedicada,PR-D191,Unidade Sul -> Transbordo Ferroviário (PR),280,48.9,4.9,13.9,153.8,1.82,1845.2,6.59,37.73
VJ-1122,16/02/2026,Dedicada,PR-D069,Unidade Sul -> Transbordo Ferroviário (PR),280,48.1,4.8,3.7,156.4,1.79,1870.4,6.68,38.89
VJ-1123,16/02/2026,Própria,PR-P022,Unidade Oeste -> Indústria Local (PR),140,48.4,2.6,6.1,76.5,1.83,893.2,6.38,18.45
VJ-1124,16/02/2026,Dedicada,PR-D093,Unidade Norte -> Terminal Mairinque (SP),490,48.0,8.9,6.5,280.0,1.75,3140.9,6.41,65.44
VJ-1125,16/02/2026,Dedicada,PR-D195,Unidade Sul -> Transbordo Ferroviário (PR),280,49.8,5.4,13.5,157.3,1.78,1825.6,6.52,36.66
VJ-1126,16/02/2026,Dedicada,PR-D076,Unidade Norte -> Terminal Mairinque (SP),490,49.0,9.4,6.1,288.2,1.7,3469.2,7.08,70.8
VJ-1127,16/02/2026,Dedicada,PR-D154,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.5,10.0,5.7,331.4,1.75,3810.6,6.57,78.57
VJ-1128,17/02/2026,Própria,PR-P016,Unidade Oeste -> Indústria Local (PR),140,48.7,2.7,0.4,76.9,1.82,831.6,5.94,17.08
VJ-1129,17/02/2026,Dedicada,PR-D179,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.9,10.3,4.4,341.2,1.7,3746.8,6.46,75.09
VJ-1130,17/02/2026,Dedicada,PR-D086,Unidade Sul -> Transbordo Ferroviário (PR),280,47.9,4.8,1.0,159.1,1.76,1901.2,6.79,39.69
VJ-1131,17/02/2026,Dedicada,PR-D185,Unidade Oeste -> Indústria Local (PR),140,49.0,2.7,8.0,81.9,1.71,912.8,6.52,18.63
VJ-1132,17/02/2026,Própria,PR-P029,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.8,10.2,4.3,308.5,1.88,3543.8,6.11,72.62
VJ-1133,17/02/2026,Dedicada,PR-D206,Unidade Oeste -> Indústria Local (PR),140,49.0,2.6,6.8,76.9,1.82,939.4,6.71,19.17
VJ-1134,17/02/2026,Dedicada,PR-D069,Unidade Oeste -> Indústria Local (PR),140,47.5,2.3,0.3,76.1,1.84,882.0,6.3,18.57
VJ-1135,17/02/2026,Dedicada,PR-D047,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.7,10.4,0.5,337.2,1.72,3659.8,6.31,73.64
VJ-1136,18/02/2026,Dedicada,PR-D094,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,9.7,7.6,339.2,1.71,3758.4,6.48,75.47
VJ-1137,18/02/2026,Dedicada,PR-D190,Unidade Oeste -> Indústria Local (PR),140,48.9,2.5,0.4,82.4,1.7,886.2,6.33,18.12
VJ-1138,18/02/2026,Dedicada,PR-D197,Unidade Oeste -> Indústria Local (PR),140,49.2,2.8,0.4,77.3,1.81,894.6,6.39,18.18
VJ-1139,18/02/2026,Dedicada,PR-D204,Unidade Norte -> Terminal Mairinque (SP),490,49.8,8.5,0.1,269.2,1.82,3219.3,6.57,64.64
VJ-1140,18/02/2026,Dedicada,PR-D144,Unidade Oeste -> Indústria Local (PR),140,49.3,2.3,18.8,82.8,1.69,971.6,6.94,19.71
VJ-1141,18/02/2026,Dedicada,PR-D176,Unidade Sul -> Transbordo Ferroviário (PR),280,47.9,4.9,8.0,149.7,1.87,1892.8,6.76,39.52
VJ-1142,18/02/2026,Dedicada,PR-D085,Unidade Oeste -> Indústria Local (PR),140,48.9,2.3,2.6,82.8,1.69,939.4,6.71,19.21
VJ-1143,18/02/2026,Dedicada,PR-D039,Unidade Oeste -> Indústria Local (PR),140,49.0,2.3,2.1,78.2,1.79,914.2,6.53,18.66
VJ-1144,19/02/2026,Dedicada,PR-D100,Unidade Sul -> Transbordo Ferroviário (PR),280,48.6,5.3,2.6,153.8,1.82,1974.0,7.05,40.62
VJ-1145,19/02/2026,Própria,PR-P033,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.3,11.0,8.9,306.9,1.89,3596.0,6.2,72.94
VJ-1146,19/02/2026,Dedicada,PR-D101,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,10.1,6.5,318.7,1.82,3694.6,6.37,74.19
VJ-1147,19/02/2026,Dedicada,PR-D023,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,10.6,1.2,315.2,1.84,3938.2,6.79,79.08
VJ-1148,19/02/2026,Própria,PR-P010,Unidade Norte -> Terminal Mairinque (SP),490,48.6,8.2,1.1,255.2,1.92,3033.1,6.19,62.41
VJ-1149,19/02/2026,Dedicada,PR-D069,Unidade Oeste -> Indústria Local (PR),140,47.8,2.3,0.6,76.1,1.84,921.2,6.58,19.27
VJ-1150,19/02/2026,Dedicada,PR-D100,Unidade Norte -> Terminal Mairinque (SP),490,50.0,9.0,6.5,288.2,1.7,3287.9,6.71,65.76
VJ-1151,19/02/2026,Dedicada,PR-D034,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.6,11.0,8.7,311.8,1.86,4060.0,7.0,81.85
VJ-1152,20/02/2026,Própria,PR-P031,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.8,9.8,1.8,291.5,1.99,3642.4,6.28,76.2
VJ-1153,20/02/2026,Dedicada,PR-D138,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,10.9,0.1,315.2,1.84,3978.8,6.86,79.9
VJ-1154,20/02/2026,Dedicada,PR-D147,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.7,9.7,0.5,327.7,1.77,4112.2,7.09,82.74
VJ-1155,20/02/2026,Dedicada,PR-D186,Unidade Oeste -> Indústria Local (PR),140,48.8,2.5,20.6,77.3,1.81,897.4,6.41,18.39
VJ-1156,20/02/2026,Dedicada,PR-D096,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.0,10.0,2.1,324.0,1.79,3781.6,6.52,77.18
VJ-1157,20/02/2026,Dedicada,PR-D001,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.5,11.3,8.8,316.9,1.83,3839.6,6.62,79.17
VJ-1158,20/02/2026,Dedicada,PR-D069,Unidade Sul -> Transbordo Ferroviário (PR),280,47.6,4.9,5.9,164.7,1.7,1859.2,6.64,39.06
VJ-1159,20/02/2026,Dedicada,PR-D004,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.3,10.5,2.9,343.2,1.69,3845.4,6.63,79.61
VJ-1160,21/02/2026,Dedicada,PR-D016,Unidade Oeste -> Indústria Local (PR),140,49.5,2.5,1.4,80.9,1.73,984.2,7.03,19.88
VJ-1161,21/02/2026,Dedicada,PR-D024,Unidade Norte -> Terminal Mairinque (SP),490,47.5,9.4,0.8,286.5,1.71,3366.3,6.87,70.87
VJ-1162,21/02/2026,Dedicada,PR-D080,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.3,9.9,5.7,313.5,1.85,3938.2,6.79,81.54
VJ-1163,21/02/2026,Dedicada,PR-D002,Unidade Oeste -> Indústria Local (PR),140,48.5,2.3,8.9,81.4,1.72,917.0,6.55,18.91
